session_id,date_event,date_timestamp_event
3537813a-922,05/05/2022,05/05/2022 14:50:26
60cf4a7f-1066,05/05/2022,05/05/2022 14:57:46
47efb53a-8254,05/05/2022,05/05/2022 09:24:34
498ae57c-1423,05/05/2022,05/05/2022 14:42:18
b40e8df4-1557,05/05/2022,05/05/2022 15:07:45
d556e35e-3696,05/05/2022,05/05/2022 17:09:44
aab229c6-5754,05/05/2022,05/05/2022 11:54:21
cef62ae9-3449,05/05/2022,05/05/2022 16:44:18
2378c07c-6199,05/05/2022,05/05/2022 21:15:32
48e06282-5038,05/05/2022,05/05/2022 23:24:15
a3776017-9626,05/05/2022,05/05/2022 16:27:02
a629994b-469,05/05/2022,05/05/2022 17:00:33
e9106992-4820,05/05/2022,05/05/2022 16:28:17
8ef8152d-3520,05/05/2022,05/05/2022 11:33:07
65271d88-8197,05/05/2022,05/05/2022 22:40:39
6727fc48-824,05/05/2022,05/05/2022 15:57:08
70df9d0e-8281,05/05/2022,05/05/2022 17:05:34
bac16705-4177,05/05/2022,05/05/2022 19:46:33
4eba5c6e-3414,05/05/2022,05/05/2022 20:39:38
fa7b9dd5-1629,05/05/2022,05/05/2022 08:19:50
26acef50-4304,05/05/2022,05/05/2022 16:27:01
b59177f8-4592,05/05/2022,05/05/2022 14:38:29
17168331-2869,05/05/2022,05/05/2022 21:30:54
c285e6bd-8760,05/05/2022,05/05/2022 19:16:42
427e214f-498,05/05/2022,05/05/2022 07:32:17
a796e819-4460,05/05/2022,05/05/2022 10:39:34
91d5cdde-4196,05/05/2022,05/05/2022 17:05:49
675ad8d3-2478,05/05/2022,05/05/2022 20:30:26
447fefda-3199,05/05/2022,05/05/2022 07:06:10
22fb6784-2302,05/05/2022,05/05/2022 13:38:30
bf363970-6345,05/05/2022,05/05/2022 21:27:49
97318337-5506,05/05/2022,05/05/2022 20:26:48
33a41c54-9472,05/05/2022,05/05/2022 20:53:33
d53a6bff-1010,05/05/2022,05/05/2022 12:26:31
4600a228-1818,05/05/2022,05/05/2022 00:58:56
ada25058-4854,05/05/2022,05/05/2022 17:42:09
feccf8a4-4605,05/05/2022,05/05/2022 21:24:47
67bdf976-8388,05/05/2022,05/05/2022 07:20:26
7d4fb90c-6968,05/05/2022,05/05/2022 21:07:36
eb77dfdc-1682,05/05/2022,05/05/2022 17:58:59
a70e0f87-6234,05/05/2022,05/05/2022 15:16:32
aa7fd9ee-3825,05/05/2022,05/05/2022 13:01:59
748d9b3e-3601,05/05/2022,05/05/2022 15:51:33
ae880c83-1745,05/05/2022,05/05/2022 21:31:01
ffa5e2fd-5334,05/05/2022,05/05/2022 00:47:53
931dbd14-4649,05/05/2022,05/05/2022 23:05:07
8b69a7de-1995,05/05/2022,05/05/2022 23:00:07
841edead-4319,05/05/2022,05/05/2022 20:29:04
bf0ff2fa-7996,05/05/2022,05/05/2022 14:20:11
a673639e-216,05/05/2022,05/05/2022 05:40:36
e9e8d02e-5336,05/05/2022,05/05/2022 19:22:05
70958869-2990,05/05/2022,05/05/2022 22:17:13
591c8dd5-6426,05/05/2022,05/05/2022 10:39:25
d5c85167-5208,05/05/2022,05/05/2022 14:45:35
d0a03d9c-9652,05/05/2022,05/05/2022 14:14:51
b0c34203-3371,05/05/2022,05/05/2022 21:12:28
34682364-77,05/05/2022,05/05/2022 11:06:31
f6dc8c4b-4494,05/05/2022,05/05/2022 17:15:50
d1e7fc92-3596,05/05/2022,05/05/2022 18:40:19
1450e619-8599,05/05/2022,05/05/2022 17:49:15
a7d67c57-2859,05/05/2022,05/05/2022 21:20:09
fc38984a-8239,05/05/2022,05/05/2022 11:37:16
7fd75fec-3987,05/05/2022,05/05/2022 23:18:28
f72bd9da-9641,05/05/2022,05/05/2022 14:07:58
cc16eac7-8269,05/05/2022,05/05/2022 23:07:09
fbe569eb-6366,05/05/2022,05/05/2022 22:52:53
b4c94e08-4104,05/05/2022,05/05/2022 17:52:31
71dfeb07-4050,05/05/2022,05/05/2022 14:19:25
d4959d52-3361,05/05/2022,05/05/2022 08:06:42
a3b8a491-3145,05/05/2022,05/05/2022 01:52:23
77925318-2872,05/05/2022,05/05/2022 11:48:33
f375eab7-2982,05/05/2022,05/05/2022 19:55:45
7c6b8321-5164,05/05/2022,05/05/2022 12:02:28
ff9fbd72-9414,05/05/2022,05/05/2022 13:45:38
41114e0f-2459,05/05/2022,05/05/2022 17:14:58
c9e28570-455,05/05/2022,05/05/2022 23:20:39
df424a5b-5048,05/05/2022,05/05/2022 21:19:43
09bf58f8-7639,05/05/2022,05/05/2022 20:39:15
31577bfd-4448,05/05/2022,05/05/2022 13:33:53
da3b9af1-6464,05/05/2022,05/05/2022 22:44:47
1f0859a7-1499,05/05/2022,05/05/2022 11:14:37
17f8a07c-3643,05/05/2022,05/05/2022 11:42:20
12b09d9a-7247,05/05/2022,05/05/2022 23:21:22
3c977ee0-2004,05/05/2022,05/05/2022 13:55:31
184e935d-8487,05/05/2022,05/05/2022 21:22:58
4f2899d4-4062,05/05/2022,05/05/2022 18:17:17
7e8a5061-5648,05/05/2022,05/05/2022 09:05:21
d9fa976b-8160,05/05/2022,05/05/2022 21:13:13
12bf525d-5731,05/05/2022,05/05/2022 12:19:26
c01f7bb2-2739,05/05/2022,05/05/2022 20:54:20
19f9a49e-1608,05/05/2022,05/05/2022 22:04:08
41b7a42e-5756,05/05/2022,05/05/2022 11:06:52
12a202f8-1404,05/05/2022,05/05/2022 23:40:57
e360adbd-5218,05/05/2022,05/05/2022 21:20:43
af8675db-4432,05/05/2022,05/05/2022 21:48:25
0900a458-5560,05/05/2022,05/05/2022 13:21:55
31e7812b-418,05/05/2022,05/05/2022 20:12:29
30db93f1-5868,05/05/2022,05/05/2022 16:36:24
af8aedcf-7112,05/05/2022,05/05/2022 12:36:53
cc8145b3-56,05/05/2022,05/05/2022 22:28:29
644c10b1-2023,05/05/2022,05/05/2022 14:30:20
cc5eb72b-7574,05/05/2022,05/05/2022 06:36:57
736010bb-9710,05/05/2022,05/05/2022 00:46:34
13b1271d-6803,05/05/2022,05/05/2022 15:22:37
1af241fc-2133,05/05/2022,05/05/2022 18:46:25
f2ffc1b6-7287,05/05/2022,05/05/2022 23:35:53
d6e68b67-1295,05/05/2022,05/05/2022 16:03:57
0bb5aa47-142,05/05/2022,05/05/2022 10:30:18
ec78942c-3144,05/05/2022,05/05/2022 14:53:31
0005054a-1608,05/05/2022,05/05/2022 12:04:40
6f50d389-2969,05/05/2022,05/05/2022 13:30:23
86c49739-9668,05/05/2022,05/05/2022 17:28:12
5786a966-8309,05/05/2022,05/05/2022 03:17:27
1e61ed29-8590,05/05/2022,05/05/2022 18:38:15
69d3dd97-5758,05/05/2022,05/05/2022 08:53:01
8129f5d3-376,05/05/2022,05/05/2022 07:27:09
daa4552b-3100,05/05/2022,05/05/2022 20:41:42
426eaf9a-7824,05/05/2022,05/05/2022 17:16:45
3cd30190-2654,05/05/2022,05/05/2022 23:42:50
9a3da273-3595,05/05/2022,05/05/2022 15:28:43
70cd667b-521,05/05/2022,05/05/2022 13:52:27
fb6c4660-2256,05/05/2022,05/05/2022 21:47:31
57da0e02-7021,05/05/2022,05/05/2022 14:08:45
1bab3a39-1890,05/05/2022,05/05/2022 21:21:40
95f1240e-5531,05/05/2022,05/05/2022 22:19:11
b10893f2-8586,05/05/2022,05/05/2022 19:19:13
2c43340c-614,05/05/2022,05/05/2022 16:25:14
3830f789-1453,05/05/2022,05/05/2022 15:40:38
9de34295-3315,05/05/2022,05/05/2022 08:01:48
df50f4cf-4822,05/05/2022,05/05/2022 19:10:51
74e8bb8e-2454,05/05/2022,05/05/2022 20:46:49
d6de2226-4580,05/05/2022,05/05/2022 17:26:55
b923c52f-1717,05/05/2022,05/05/2022 14:15:52
05018659-3865,05/05/2022,05/05/2022 16:06:44
d0a30ca1-838,05/05/2022,05/05/2022 20:21:41
f11ebecb-5213,05/05/2022,05/05/2022 10:33:28
8a1fcf0b-7583,05/05/2022,05/05/2022 09:37:43
32ea544c-9619,05/05/2022,05/05/2022 15:25:41
8e88f08b-5468,05/05/2022,05/05/2022 07:03:19
83316c24-8473,05/05/2022,05/05/2022 14:57:00
afa2f011-5737,05/05/2022,05/05/2022 14:03:08
d7cab2c5-7432,05/05/2022,05/05/2022 19:01:41
a5b51f4c-1640,05/05/2022,05/05/2022 17:58:23
23a8a6f5-9991,05/05/2022,05/05/2022 09:02:10
267057e9-488,05/05/2022,05/05/2022 08:36:52
71fda083-8971,05/05/2022,05/05/2022 12:28:06
5e5627f1-6447,05/05/2022,05/05/2022 03:44:44
b2c5c395-8996,05/05/2022,05/05/2022 07:10:07
9534031d-3599,05/05/2022,05/05/2022 08:12:38
7bbf6df3-9595,05/05/2022,05/05/2022 07:56:28
6175c0ae-9643,05/05/2022,05/05/2022 14:53:57
8293ff90-3430,05/05/2022,05/05/2022 14:10:42
07c79237-8707,05/05/2022,05/05/2022 12:50:14
22166fdd-6055,05/05/2022,05/05/2022 21:51:34
9c5b45a6-6289,05/05/2022,05/05/2022 00:02:21
202cc38d-984,05/05/2022,05/05/2022 14:06:26
aade07ba-2701,05/05/2022,05/05/2022 21:56:37
d8d7bcf1-6287,05/05/2022,05/05/2022 00:06:13
3125a8d3-6965,05/05/2022,05/05/2022 15:24:03
ce50efe3-9390,05/05/2022,05/05/2022 18:58:40
08ccc9d2-9323,05/05/2022,05/05/2022 17:26:02
e7e62dca-3336,05/05/2022,05/05/2022 19:31:14
c9393a2b-6552,05/05/2022,05/05/2022 08:02:29
1bd4c1c8-2376,05/05/2022,05/05/2022 20:50:58
9f7afcdf-6760,05/05/2022,05/05/2022 12:01:44
c83cb254-6765,05/05/2022,05/05/2022 11:03:55
0d28a1a3-2204,05/05/2022,05/05/2022 22:06:56
0f5e7605-6449,05/05/2022,05/05/2022 11:05:30
df244d36-4478,05/05/2022,05/05/2022 00:12:38
aa509651-5716,05/05/2022,05/05/2022 20:17:28
2d26e32b-2030,05/05/2022,05/05/2022 22:27:10
2e00091c-7195,05/05/2022,05/05/2022 15:51:28
cae17277-4652,05/05/2022,05/05/2022 10:11:10
ae31ac54-8308,05/05/2022,05/05/2022 22:14:04
de791d70-4021,05/05/2022,05/05/2022 13:28:57
dde0928c-803,05/05/2022,05/05/2022 17:49:26
4ed4de51-6800,05/05/2022,05/05/2022 18:10:34
7257c617-6106,05/05/2022,05/05/2022 13:31:25
1bbcda58-4447,05/05/2022,05/05/2022 17:05:35
bca53099-9977,05/05/2022,05/05/2022 17:11:45
5e751336-6986,05/05/2022,05/05/2022 14:12:49
e5deb604-5616,05/05/2022,05/05/2022 17:06:40
22d016f7-7618,05/05/2022,05/05/2022 17:10:44
ef2b357b-8845,05/05/2022,05/05/2022 08:22:43
53103b56-729,05/05/2022,05/05/2022 17:24:08
9f85a252-7037,05/05/2022,05/05/2022 12:48:24
3ccfa77f-1052,05/05/2022,05/05/2022 06:18:06
7a4914e5-1407,05/05/2022,05/05/2022 18:26:25
168450bd-9884,05/05/2022,05/05/2022 18:11:52
7eee2fd6-7290,05/05/2022,05/05/2022 21:03:15
7d9eba30-1949,05/05/2022,05/05/2022 13:25:33
6f4f3752-1542,05/05/2022,05/05/2022 18:34:13
152637b9-2140,05/05/2022,05/05/2022 00:04:45
d926b469-8934,05/05/2022,05/05/2022 17:26:54
9c42df39-6605,05/05/2022,05/05/2022 15:11:49
9c25bf6c-5354,05/05/2022,05/05/2022 10:31:18
17c45ffb-2639,05/05/2022,05/05/2022 15:47:29
5de72a18-4449,05/05/2022,05/05/2022 21:32:57
7b75e3c4-957,05/05/2022,05/05/2022 01:43:09
f20017e3-1492,05/05/2022,05/05/2022 08:15:39
c09433e8-7130,05/05/2022,05/05/2022 12:46:11
a3d589b0-5248,05/05/2022,05/05/2022 21:41:38
8016d85c-92,05/05/2022,05/05/2022 22:30:33
5be4e4d8-8431,05/05/2022,05/05/2022 07:07:00
5175ca8f-2912,05/05/2022,05/05/2022 00:30:37
0f24d30c-4594,05/05/2022,05/05/2022 18:25:03
57c81a24-7957,05/05/2022,05/05/2022 23:32:22
df529faf-271,05/05/2022,05/05/2022 10:32:05
138db488-9477,05/05/2022,05/05/2022 15:03:20
bbfefb62-2294,05/05/2022,05/05/2022 02:32:16
9d8e817f-1600,05/05/2022,05/05/2022 16:56:30
7d1c3e5c-4429,05/05/2022,05/05/2022 16:38:11
0c84fa85-6953,05/05/2022,05/05/2022 19:56:30
fcf398a1-1554,05/05/2022,05/05/2022 11:59:25
ec8680e8-4197,05/05/2022,05/05/2022 13:31:05
075d38e2-8516,05/05/2022,05/05/2022 22:22:17
c326370f-4622,05/05/2022,05/05/2022 06:49:00
ceb919e6-9286,05/05/2022,05/05/2022 09:41:45
f01e4f3a-2854,05/05/2022,05/05/2022 11:01:49
401beda1-3831,05/05/2022,05/05/2022 19:15:11
ebcd983b-5066,05/05/2022,05/05/2022 07:31:31
f329a6a3-8305,05/05/2022,05/05/2022 23:19:10
36a2056a-9270,05/05/2022,05/05/2022 11:57:40
841db638-7873,05/05/2022,05/05/2022 15:14:52
71b72c70-5014,05/05/2022,05/05/2022 23:01:15
585b2e1f-2913,05/05/2022,05/05/2022 20:15:15
7f0ef947-8392,05/05/2022,05/05/2022 15:11:48
10664e92-6933,05/05/2022,05/05/2022 20:02:53
1036c6bf-4343,05/05/2022,05/05/2022 08:27:00
f0a5b4fa-1930,05/05/2022,05/05/2022 13:17:11
abb9624b-4894,05/05/2022,05/05/2022 14:49:38
2beeef64-3514,05/05/2022,05/05/2022 10:18:07
fd1da82e-993,05/05/2022,05/05/2022 11:20:01
05e1c11f-8922,05/05/2022,05/05/2022 17:11:55
4327c0a7-2119,05/05/2022,05/05/2022 02:52:36
32d7bc7d-9331,05/05/2022,05/05/2022 21:22:45
4802755f-7533,05/05/2022,05/05/2022 21:45:29
f21af2f6-6733,05/05/2022,05/05/2022 23:15:06
21fa4414-9612,05/05/2022,05/05/2022 13:04:33
c80a33a9-6355,05/05/2022,05/05/2022 07:54:27
07448943-4270,05/05/2022,05/05/2022 21:02:30
bb2a0f14-2065,05/05/2022,05/05/2022 21:56:29
7b3e65fe-5682,05/05/2022,05/05/2022 16:57:31
605d873e-4184,05/05/2022,05/05/2022 12:23:57
d25e87d7-5782,05/05/2022,05/05/2022 21:14:01
5e2a861f-7540,05/05/2022,05/05/2022 11:49:03
206f3228-1978,05/05/2022,05/05/2022 16:35:08
969ca1d9-5830,05/05/2022,05/05/2022 18:40:17
7150c60a-2497,05/05/2022,05/05/2022 20:29:32
b9aef789-3557,05/05/2022,05/05/2022 10:38:24
0fd350e2-5915,05/05/2022,05/05/2022 18:51:32
d096c3d6-6035,05/05/2022,05/05/2022 22:03:53
277b77b1-7757,05/05/2022,05/05/2022 09:17:30
6d639d56-9097,05/05/2022,05/05/2022 12:59:10
6b724d9a-7776,05/05/2022,05/05/2022 20:58:25
d73c470f-6407,05/05/2022,05/05/2022 20:47:11
42e44e74-3122,05/05/2022,05/05/2022 22:17:59
36ebbec2-1321,05/05/2022,05/05/2022 18:51:27
29708785-3520,05/05/2022,05/05/2022 16:56:26
1b80bba6-151,05/05/2022,05/05/2022 22:51:57
2f39677e-5795,05/05/2022,05/05/2022 17:03:04
fdc5172a-381,05/05/2022,05/05/2022 18:43:20
16f3fecd-8658,05/05/2022,05/05/2022 13:02:24
382ef33a-8100,05/05/2022,05/05/2022 04:31:37
a3bbf433-4054,05/05/2022,05/05/2022 19:37:56
b7b4df98-7390,05/05/2022,05/05/2022 14:08:59
9c12aab4-7225,05/05/2022,05/05/2022 13:46:21
a2476bd8-6139,05/05/2022,05/05/2022 14:45:36
40b6fd86-550,05/05/2022,05/05/2022 15:59:57
074574bb-3417,05/05/2022,05/05/2022 17:27:02
698e2fb3-4276,05/05/2022,05/05/2022 19:06:48
a9820c17-5292,05/05/2022,05/05/2022 12:09:18
d89f5099-1891,05/05/2022,05/05/2022 13:54:36
3d70ba88-9195,05/05/2022,05/05/2022 20:48:55
75110687-1878,05/05/2022,05/05/2022 21:40:21
06abf585-8420,05/05/2022,05/05/2022 15:08:26
67a264c4-6573,05/05/2022,05/05/2022 17:52:54
48d239d6-9198,05/05/2022,05/05/2022 15:25:41
00184b8d-8192,05/05/2022,05/05/2022 21:22:11
e30d6b42-360,05/05/2022,05/05/2022 08:31:03
cca802df-8492,05/05/2022,05/05/2022 08:23:44
0a783691-1586,05/05/2022,05/05/2022 08:49:59
9ab9c446-8518,05/05/2022,05/05/2022 19:13:23
b74d7ec3-6820,05/05/2022,05/05/2022 12:59:58
d7443c6c-8531,05/05/2022,05/05/2022 01:21:47
8e95d620-4910,05/05/2022,05/05/2022 19:29:26
68665567-1198,05/05/2022,05/05/2022 17:46:23
e2c2e195-6060,05/05/2022,05/05/2022 15:02:38
907c7d88-9687,05/05/2022,05/05/2022 15:05:53
981e8ff0-7780,05/05/2022,05/05/2022 14:56:34
b37d08e1-7166,05/05/2022,05/05/2022 15:17:17
dbdb9c91-312,05/05/2022,05/05/2022 06:27:08
199efe4b-9518,05/05/2022,05/05/2022 21:55:40
8665b201-5554,05/05/2022,05/05/2022 22:46:35
80bcf78a-5158,05/05/2022,05/05/2022 14:00:35
56b236ab-1130,05/05/2022,05/05/2022 21:11:29
a1f43057-1920,05/05/2022,05/05/2022 02:03:00
a9d06c0f-7176,05/05/2022,05/05/2022 19:31:16
1e5a6865-8905,05/05/2022,05/05/2022 18:42:18
5dee96d3-3651,05/05/2022,05/05/2022 17:32:09
6a4e9fd2-7540,05/05/2022,05/05/2022 19:34:17
63b8cb5c-1130,05/05/2022,05/05/2022 21:05:50
dcd21599-7355,05/05/2022,05/05/2022 11:17:59
ac967447-4587,05/05/2022,05/05/2022 00:14:28
ff980bbf-3031,05/05/2022,05/05/2022 08:13:46
68c0b5bb-6616,05/05/2022,05/05/2022 16:31:03
117b13cd-5233,05/05/2022,05/05/2022 22:14:08
6fe69bd0-2683,05/05/2022,05/05/2022 09:56:54
5ae16aa5-8798,05/05/2022,05/05/2022 10:18:10
8a5b83f0-7973,05/05/2022,05/05/2022 22:51:57
874fe5aa-8475,05/05/2022,05/05/2022 08:22:43
00a9d903-8036,05/05/2022,05/05/2022 21:31:24
f6dfaf7e-2149,05/05/2022,05/05/2022 12:46:48
808e32b0-6159,05/05/2022,05/05/2022 10:14:12
e419673f-6588,05/05/2022,05/05/2022 21:12:27
a785b9fb-3934,05/05/2022,05/05/2022 06:33:10
46d6d97c-9525,05/05/2022,05/05/2022 21:49:35
0ea4aad5-2664,05/05/2022,05/05/2022 21:27:55
45449c47-1156,05/05/2022,05/05/2022 11:04:29
f5641b17-5437,05/05/2022,05/05/2022 12:08:17
2f011400-4353,05/05/2022,05/05/2022 20:19:54
c77f0928-7894,05/05/2022,05/05/2022 14:19:39
6f2c6687-7800,05/05/2022,05/05/2022 17:19:54
26f1c9ce-818,05/05/2022,05/05/2022 13:36:43
5b25705b-3905,05/05/2022,05/05/2022 08:13:46
b6ea5272-3222,05/05/2022,05/05/2022 07:19:26
cf4c337a-5178,05/05/2022,05/05/2022 09:02:07
985c18a8-5757,05/05/2022,05/05/2022 12:31:50
c64db87c-9533,05/05/2022,05/05/2022 09:43:46
675863db-9588,05/05/2022,05/05/2022 14:51:27
fa33cf86-4365,05/05/2022,05/05/2022 23:16:34
c1373e01-3798,05/05/2022,05/05/2022 18:21:20
1c383687-1769,05/05/2022,05/05/2022 11:45:00
f9666901-6330,05/05/2022,05/05/2022 18:00:42
173e14bd-5875,05/05/2022,05/05/2022 08:54:14
e43f76f6-8549,05/05/2022,05/05/2022 13:07:29
c1ec4c54-8662,05/05/2022,05/05/2022 20:58:05
984c83da-1455,05/05/2022,05/05/2022 01:29:19
925f34ba-2659,05/05/2022,05/05/2022 23:55:08
da034f3b-9210,05/05/2022,05/05/2022 00:49:53
f78503c9-1163,05/05/2022,05/05/2022 21:34:28
1cd988a5-6270,05/05/2022,05/05/2022 11:10:50
1bb8ce9b-94,05/05/2022,05/05/2022 13:43:36
09421109-9539,05/05/2022,05/05/2022 16:20:55
cc5feff4-7827,05/05/2022,05/05/2022 00:33:39
528399cf-5715,05/05/2022,05/05/2022 19:55:29
7a9a5696-5363,05/05/2022,05/05/2022 20:34:35
b0952df9-4943,05/05/2022,05/05/2022 07:36:33
6a132167-5851,05/05/2022,05/05/2022 09:30:24
1b76371c-6300,05/05/2022,05/05/2022 20:36:40
a8581e07-4241,05/05/2022,05/05/2022 20:59:10
d57246c1-74,05/05/2022,05/05/2022 03:26:42
f28f268e-3427,05/05/2022,05/05/2022 11:15:57
02dfae1d-7803,05/05/2022,05/05/2022 22:10:02
5be4af77-9880,05/05/2022,05/05/2022 16:30:04
07b6fa4b-2944,05/05/2022,05/05/2022 08:03:39
dbad5f2e-8329,05/05/2022,05/05/2022 13:44:19
80178961-3303,05/05/2022,05/05/2022 19:13:56
b839838a-3342,05/05/2022,05/05/2022 16:45:17
6bc8608c-9319,05/05/2022,05/05/2022 15:16:02
70fffd18-3180,05/05/2022,05/05/2022 17:00:33
327c54b9-8857,05/05/2022,05/05/2022 21:50:10
630a19c8-6153,05/05/2022,05/05/2022 20:29:32
0024f73d-1512,05/05/2022,05/05/2022 14:37:42
e48ce46f-6182,05/05/2022,05/05/2022 16:30:04
542152b6-3890,05/05/2022,05/05/2022 19:00:21
0171de0a-1090,05/05/2022,05/05/2022 08:08:33
557ac9b8-9720,05/05/2022,05/05/2022 18:39:18
8bfd0af3-4133,05/05/2022,05/05/2022 09:16:19
642bb8d6-9913,05/05/2022,05/05/2022 16:23:59
14b72a93-8227,05/05/2022,05/05/2022 13:22:42
2011f37b-8323,05/05/2022,05/05/2022 17:50:33
fba1bfe1-2333,05/05/2022,05/05/2022 12:07:31
1e726fff-558,05/05/2022,05/05/2022 10:07:48
9ec967ab-8740,05/05/2022,05/05/2022 20:43:44
6af2de8b-6144,05/05/2022,05/05/2022 19:15:11
62c13571-7106,05/05/2022,05/05/2022 14:31:08
43a7f665-3364,05/05/2022,05/05/2022 20:56:22
5dbb3f13-9603,05/05/2022,05/05/2022 15:31:09
0cf04e31-8974,05/05/2022,05/05/2022 14:48:25
b24c59f7-965,05/05/2022,05/05/2022 22:52:58
476db9c7-4541,05/05/2022,05/05/2022 15:59:39
fbc256d0-8495,05/05/2022,05/05/2022 15:16:55
465d9d4e-7175,05/05/2022,05/05/2022 11:11:35
019169e4-7480,05/05/2022,05/05/2022 05:40:45
4458200f-2664,05/05/2022,05/05/2022 23:15:16
a32794a7-967,05/05/2022,05/05/2022 13:09:30
2a7ddce8-8923,05/05/2022,05/05/2022 19:29:03
b5672bc8-5499,05/05/2022,05/05/2022 21:23:12
348c821f-7621,05/05/2022,05/05/2022 09:29:37
2a020b8c-6398,05/05/2022,05/05/2022 06:21:53
dbd09689-292,05/05/2022,05/05/2022 13:06:34
a7b4d77a-488,05/05/2022,05/05/2022 18:36:35
b4758d31-6207,05/05/2022,05/05/2022 10:16:13
532d9ea3-3001,05/05/2022,05/05/2022 16:16:24
4826091d-3205,05/05/2022,05/05/2022 13:16:50
64a9c373-5484,05/05/2022,05/05/2022 20:55:04
b5a12d58-4735,05/05/2022,05/05/2022 15:50:45
0b949b61-4155,05/05/2022,05/05/2022 21:03:47
86471315-8661,05/05/2022,05/05/2022 14:06:58
25fc2dd9-2705,05/05/2022,05/05/2022 20:32:36
d9f6f3a2-5994,05/05/2022,05/05/2022 08:36:06
9103e8b9-6388,05/05/2022,05/05/2022 11:42:28
8be768ff-6162,05/05/2022,05/05/2022 20:01:52
1edc4c54-4726,05/05/2022,05/05/2022 16:30:04
40fd039f-7075,05/05/2022,05/05/2022 13:43:49
483d1d4e-5826,05/05/2022,05/05/2022 06:59:04
615397c1-4438,05/05/2022,05/05/2022 23:32:51
44f68e4b-634,05/05/2022,05/05/2022 08:48:58
4d6c859f-3082,05/05/2022,05/05/2022 21:20:43
38f4d9b3-3757,05/05/2022,05/05/2022 10:38:24
820feecd-9367,05/05/2022,05/05/2022 10:04:46
e40e15a9-273,05/05/2022,05/05/2022 13:28:22
3c747225-4064,05/05/2022,05/05/2022 00:09:25
f3f5562e-5870,05/05/2022,05/05/2022 12:37:08
bad851ae-9174,05/05/2022,05/05/2022 13:17:25
22f91bc2-1210,05/05/2022,05/05/2022 12:30:03
92e0a37f-9172,05/05/2022,05/05/2022 14:35:40
9da3074f-5020,05/05/2022,05/05/2022 14:17:36
98d31cfb-2456,05/05/2022,05/05/2022 07:48:24
16b0de0c-3122,05/05/2022,05/05/2022 17:27:03
a2a09acc-623,05/05/2022,05/05/2022 21:53:25
4f700475-2434,05/05/2022,05/05/2022 07:52:23
e41fb5aa-8367,05/05/2022,05/05/2022 17:25:53
90519567-8466,05/05/2022,05/05/2022 20:06:05
a5033233-2283,05/05/2022,05/05/2022 10:14:06
7e358dcf-4240,05/05/2022,05/05/2022 18:14:15
2ed483fc-3850,05/05/2022,05/05/2022 16:19:53
fe2655d5-6182,05/05/2022,05/05/2022 19:43:16
58214375-4922,05/05/2022,05/05/2022 22:49:37
94397923-2433,05/05/2022,05/05/2022 14:34:55
6f00adba-1747,05/05/2022,05/05/2022 23:01:14
eb3272a9-8278,05/05/2022,05/05/2022 21:09:23
3763db9b-9257,05/05/2022,05/05/2022 21:18:41
b27ec077-7234,05/05/2022,05/05/2022 21:39:06
4153e8f9-6196,05/05/2022,05/05/2022 23:49:36
8031ec12-2068,05/05/2022,05/05/2022 10:52:37
ecc77e12-368,05/05/2022,05/05/2022 17:28:57
7e9d8088-9396,05/05/2022,05/05/2022 11:09:51
