session_id,device_type
3b5181ba-8613,App iOS
e95de6c3-1953,Mobile
7ca463b8-9005,Mobile
9bbb6b66-3402,App Android
f6bfbb1e-6541,App iOS
9d896748-7394,Mobile
c52222e9-1815,Mobile
9b316e24-8571,Mobile
0d86f814-259,App iOS
091e9972-4203,App iOS
518d71a8-9349,App iOS
0404a258-4390,Mobile
a34231c4-7236,Mobile
7486a64c-3608,Mobile
5ddfc856-3866,Mobile
011fda20-3455,Mobile
8c31997e-5417,Mobile
bf3d2149-2211,Mobile
c568e772-3985,App Android
eede4eeb-1660,Mobile
f2161605-6145,Desktop
273fca6b-1821,App iOS
06952f4c-4281,Mobile
676a49de-1645,App Android
71c7ba39-4290,Mobile
aa70a1df-685,Mobile
51cf0332-3403,App Android
ef249960-2702,App iOS
a1f8b4f5-3306,Mobile
ba037286-4550,Mobile
bfdadd30-9171,Desktop
59d39166-1963,App iOS
f91dfdb1-1866,App iOS
d2722be9-9333,Mobile
806751bf-617,App iOS
53721a91-6309,Mobile
6c8733a5-614,Mobile
b0c457e9-2710,Mobile
53738f77-6976,App iOS
2f938d12-8647,Desktop
38a72ab0-407,App iOS
df3d329c-3409,Desktop
fdcfd339-4935,App iOS
225c735f-1676,Mobile
29a2c2a5-2413,App Android
99fccce9-5051,Mobile
4dae53fc-4700,App iOS
b51e8a4e-491,App Android
bf83b828-1904,App iOS
66e4d33b-1215,Mobile
6f0f179d-7901,App Android
386570f7-4319,App Android
9ced54ce-5118,App iOS
2a897f42-3450,Mobile
5f8f5a79-8202,Mobile
a44de2b1-8684,Mobile
3781f14c-1400,Mobile
53a11613-6556,App iOS
9e7b98c1-8632,App Android
43787900-3133,Mobile
23e74ff1-1592,App iOS
8091d0a3-5593,App Android
67f73bea-9117,Mobile
4cd9ea26-9946,Mobile
85dc42ef-1003,App iOS
b8697a48-4490,Desktop
2a02bb91-2951,App iOS
787ef496-3617,App Android
009fedc1-681,App Android
c26f236b-3877,App Android
b3d7fecb-3771,App iOS
40549a2a-9891,App Android
d8796000-294,App Android
2e406a1b-5997,App Android
835b9b4b-7491,App iOS
37c5fa78-4346,App iOS
86de2fbc-8310,Mobile
899890bf-6859,App Android
41ecc87b-2896,App iOS
053efc3a-425,App iOS
231f7c98-6150,App Android
ef1084c1-4631,Mobile
0e248346-4438,App iOS
16706924-2948,App iOS
8592d0e5-2070,App iOS
61c51ddb-6029,App Android
1bf5b0b1-7905,App iOS
23541329-2393,Mobile
70fe2a40-147,App iOS
768ae6e1-3,App Android
a1d037a8-6214,App iOS
060b686a-2844,Desktop
b4ec06df-3288,Mobile
98104f96-6200,App iOS
c51c97b0-3838,Mobile
ecbb1d4f-2266,App Android
474182ba-2481,App iOS
00687fc7-1635,App iOS
18d66102-8523,Desktop
6c72ed9f-1757,App Android
cb7526ce-4618,App iOS
adb1d990-1852,Mobile
b93c020f-7378,App iOS
6f6913d6-1858,App Android
c8fb51a7-4875,Mobile
253eee67-8208,App iOS
9cf78e69-9000,Desktop
79c9e7cc-7386,App iOS
535956ed-4749,Desktop
5707ccb8-1572,App iOS
a28ab061-651,App iOS
83975e3c-7898,App Android
7af1622d-751,Mobile
bafc76b8-5173,App Android
c7cbb118-2239,Mobile
68a3353f-3328,Mobile
84363f75-6481,Mobile
b599a71a-6461,Mobile
56bf607a-7969,Mobile
6fdeab7e-3054,App iOS
5cb66f4f-290,App iOS
3496c115-6294,App iOS
d08d6c52-97,App iOS
bcc979aa-876,Desktop
a349e51e-7989,App iOS
478db28b-3610,App iOS
7167a211-6785,App Android
e1b5665d-491,Desktop
c6baa45c-3326,App iOS
c1ae1e48-2683,Mobile
e92f9750-7694,Mobile
c58e4564-4267,Mobile
1fcb8e02-7841,Mobile
82881367-983,App iOS
0a39ce10-2408,App iOS
99741f01-3455,Mobile
43edc140-4893,Mobile
cf1473f6-6444,Mobile
886490d4-9910,Mobile
9bc29d80-8588,App iOS
498f8283-4748,App iOS
33e2958b-5169,App Android
c493a93e-9444,App iOS
d847cb14-2004,Mobile
495d1df9-7330,App Android
6c7ae04e-7301,App iOS
947b8764-9617,Mobile
f751b495-1495,App iOS
e2a6508d-8926,App iOS
06a50eb8-6108,Desktop
4ebda740-6152,App Android
e741eabe-8267,Mobile
79dcb932-7399,Mobile
aff3745b-8935,App iOS
0ee7ca39-1603,Mobile
a9104b8c-4962,Mobile
a3114c42-9910,Mobile
845ff8c9-1038,Mobile
e72d4b7c-1632,Desktop
da421e8e-5274,Mobile
52cb1f20-5354,Mobile
eb214fe0-1412,Desktop
ebeb64e8-2108,Mobile
ef89c1b3-5754,App iOS
b9efa7d2-5936,Mobile
d6bfdd2d-5147,Mobile
600ee021-5387,App iOS
de308913-3082,Mobile
0a61e887-3036,App iOS
33cce89a-7958,Desktop
b7d68747-1388,Desktop
7eadae20-9369,App iOS
327153b4-2766,App Android
497acb86-640,Mobile
c98bf261-7852,App iOS
f3f088c5-8183,App Android
ec6f559e-4844,Mobile
3e200c37-3719,App iOS
82186406-6332,App iOS
340495a3-7887,Mobile
7a9071a7-4801,App iOS
58217763-3935,App Android
7d960f1c-9308,App Android
41f0569e-115,App iOS
d2dc3232-8750,App Android
2ed54110-729,App iOS
86ebddf9-3359,Desktop
6f3d3fb1-9884,Mobile
7962d27e-3380,App Android
2c4cb81f-7032,Desktop
4b16c090-3550,App iOS
36ff910a-5717,App iOS
abaca7b2-5075,Mobile
d23e14da-8831,App iOS
525df3a3-1611,App iOS
bbfe4274-1064,Mobile
095cb7da-584,App Android
840620b6-340,App iOS
74e9fa0e-1081,App iOS
84597e5d-3405,App Android
585470aa-89,Desktop
46c1a3c0-9712,Desktop
44ae576d-3809,App Android
1da7046b-3863,App Android
084060c8-9105,App iOS
d9903009-3433,App Android
888adf94-3539,Mobile
606b283e-8845,App Android
f726cc90-7298,App iOS
8b7c68d4-905,Desktop
832912b6-6029,Desktop
55a00be5-1635,Mobile
4a15c8ed-352,Mobile
29c4cafa-1821,Mobile
242696fd-9433,Mobile
29fd2b86-9028,Mobile
942ce457-225,App iOS
f103b5c5-3204,App iOS
fdd36cd0-3635,App Android
e1ee924f-4030,Mobile
9d77fe4c-509,Mobile
1a1d266e-4437,Mobile
f1f91abc-8823,App iOS
e03a2689-4473,Desktop
d0b84f6b-1006,App iOS
ca9b180c-523,Mobile
f377565e-6617,App Android
e0d1aab2-3379,App Android
4446f6eb-9805,App Android
413a9888-5549,Desktop
603434fa-1191,App iOS
f2a789b2-569,App iOS
f57a1509-175,Mobile
e31d97fe-3578,Desktop
961a3bd5-8456,Mobile
95bf9903-5648,Mobile
3058f305-2389,App iOS
63e7d6b4-6010,Mobile
2238b236-1377,Desktop
4446fc86-9499,Desktop
2ada2463-588,Desktop
6ee0ea73-323,Mobile
c6d6a3ba-3947,Other
8fdf0f79-5698,App iOS
95a6c7cc-105,Mobile
89d78635-913,Mobile
1240fc8c-5141,Mobile
4b1c091f-3002,Mobile
dd476cd8-9422,Mobile
dbf73bec-2915,App Android
2808ca1a-4326,App Android
bd5ba0f8-6458,App Android
643048e6-7305,App iOS
77c45ef9-6546,Mobile
aeebcf10-5959,Mobile
b4156e36-7096,App Android
10126b58-7374,Mobile
f6215893-7084,App iOS
275fc97f-3067,App iOS
3c76aa47-8953,App Android
cc635d3c-1065,Desktop
fec42a2b-6785,Desktop
c56f8cd6-3559,App Android
9f037fdb-1832,Mobile
adc1092d-7442,Mobile
044afa23-6651,App iOS
2db467b1-1920,Mobile
c99dbe28-1717,Mobile
80df7038-8639,Desktop
f9e760a3-2870,Desktop
955bf212-9578,App iOS
9fd959c5-7989,App Android
1c6e954a-9776,Mobile
52853d70-8359,App Android
ecfa96db-3244,Mobile
9d73e169-4189,App Android
d316eb28-6424,Mobile
49bfaa65-7332,App Android
622c5053-9810,App iOS
3ee313fc-5087,Mobile
2b58678c-7319,App Android
52a1bcce-3403,Mobile
49266732-4171,Mobile
6c8d6cac-9714,Mobile
c2c89725-4215,Desktop
922a35a1-4767,App Android
d1da2a31-9449,App Android
c822f6a7-6686,App Android
6df3c9aa-4004,App Android
b9e50f48-2444,App iOS
4febb55c-545,Mobile
53a52203-2213,App Android
5ba6741f-5540,Desktop
cf84c622-1854,App iOS
5f3d00e9-6609,Desktop
9be16207-3821,Mobile
aca744d2-1860,App iOS
84b997d3-6163,App iOS
b3f35008-524,Mobile
d87687c4-9907,App iOS
3229c0e0-5272,App iOS
a2961014-8238,Mobile
235b61f7-1177,Desktop
6bee35bc-5339,App iOS
0de919c1-9927,App iOS
9e22bae4-5894,Mobile
ac5abf82-8267,App Android
e6f5be77-2330,Desktop
61bb980a-1362,App iOS
d80926ca-6835,App iOS
6aed02e5-197,App Android
a4df3d28-3239,Mobile
0de844f4-872,App iOS
d290f3bb-1035,App Android
ae00a64a-5075,Mobile
6bc7a28b-2745,App iOS
5b80e662-6240,Mobile
7b342163-8632,Desktop
a10df084-7056,App Android
d6b8f3c1-488,Mobile
b1563dd3-8878,App iOS
2711c032-8250,Desktop
3a34b9e0-2793,App Android
340bcdad-2162,Mobile
e133bc15-1290,App Android
4caa67ed-9409,Desktop
d74b2049-1006,App iOS
1b623d0d-2293,App Android
100c482a-116,App iOS
1b797e4a-4690,Mobile
ef969b36-8305,App iOS
80ab89f6-4077,App Android
ebb98e03-2863,App Android
16beaddd-4941,Desktop
ef4ef6be-7484,Mobile
a667e6d7-5488,App iOS
45ee0054-3208,Mobile
5da4c9b1-5829,Mobile
c70c41b6-6609,App Android
4872cfb0-9022,App Android
c16f136d-1311,App iOS
85e39a63-7434,App iOS
61702217-4530,App iOS
c3c534bc-2728,Mobile
f99144e2-736,App iOS
151143ef-5065,Mobile
a3068682-2010,App Android
83810dc2-6257,Mobile
4b1e60ea-2030,Mobile
605c33c9-8461,Mobile
213ef058-5385,App iOS
be1c24ba-6719,Mobile
29f0dfd3-3141,Mobile
c35a8f56-9128,Mobile
18709533-6249,App Android
1ff9c2ed-1454,Mobile
4285dfcb-6551,App iOS
a348ae4a-9522,Mobile
93416b8c-2201,Desktop
4b09b037-3908,App Android
0bedbb13-3461,App iOS
52e8ba41-7834,Mobile
0a34e902-3548,Mobile
ff0153f2-5081,Mobile
1e3ffc93-4924,App iOS
6a644140-3266,App iOS
9f5f9cfe-251,Desktop
4c9cfe4e-1935,App Android
d8067d4d-5384,Mobile
14402a28-4660,App Android
146dfe53-3871,Mobile
5f60f344-2777,App iOS
cd119f20-6513,App Android
635de540-5456,App iOS
a3d44f34-2875,Mobile
e75b7cba-2971,App Android
30bf3755-7723,Desktop
c2191dbd-842,Desktop
dc7cdfbc-5312,App iOS
438efe37-5119,App iOS
c86be54f-5835,App iOS
cb07298c-958,Mobile
b577e23a-6019,Mobile
1d598326-9265,App Android
2e1a06cf-7274,Desktop
57d27683-9524,App Android
72425487-8276,App Android
2f86c5ec-3795,App iOS
1ac78612-5749,Mobile
a63a46f1-5214,App iOS
0a0ab4f7-4937,App Android
447954e8-2705,App Android
4b44fd2a-4352,Desktop
1e40dc5f-6815,App iOS
2a0834fc-9529,Mobile
b8c963de-3736,App Android
21da1c3f-8488,Desktop
df4cf80e-8836,App iOS
241ec420-2931,Mobile
ec282697-7667,App Android
08eef888-318,App iOS
e2e1cf7f-8612,App Android
cec666c9-1389,App iOS
a482d93c-2219,Mobile
657c07e7-3460,Mobile
d5b6951b-7597,App iOS
a689c8ba-7724,Mobile
7e602255-1855,Mobile
13c169b2-7087,Mobile
2a803f5e-8191,App Android
e172a4b5-7043,Desktop
b5ed21c3-5794,App Android
a4d0e77b-2229,Mobile
26e56224-6438,Mobile
f3920245-1467,App Android
2a15b64e-6687,App iOS
af4429bf-9244,App Android
40974cd7-4905,Mobile
fb37f378-1225,App iOS
100bd434-2986,App iOS
31e42d1e-9070,Mobile
9771ff33-2992,App iOS
cb152f3c-203,Mobile
19a5d5e2-7655,App iOS
d67c9d3d-4956,App Android
5fdadc90-4005,Mobile
88c4293c-522,Mobile
f5a9c923-4166,Desktop
42aa659d-5686,App iOS
2f953f31-2347,Desktop
b74ceab9-3719,Mobile
81284fbe-8317,App Android
cc60e3c6-9673,App iOS
c1bf7f4a-8585,Mobile
a3147188-9376,Desktop
531855ef-7961,App iOS
b033ba87-4389,App Android
1468dd5c-7917,App iOS
f8fa88bc-4201,App iOS
41f6000e-2755,App iOS
a9300330-1627,App iOS
1721c646-7771,Mobile
9433cf65-2445,App Android
7bdad2cc-8470,App iOS
4ddeab9e-3834,Mobile
61b6b46f-8593,App Android
1ecb05c5-8880,Mobile
49909abc-8478,App iOS
3691d48f-5640,App Android
1c00ed8f-3789,App iOS
de35a1e7-9469,App Android
a5dc44f5-7834,App iOS
225ac93e-1266,Mobile
0d96bf9e-4254,App iOS
02632377-7386,Mobile
e15c9728-8911,App iOS
583a7eae-8371,App iOS
da1815ab-7871,App Android
3709e9ff-1303,Mobile
46285f89-9430,App iOS
3c04f7aa-8779,App iOS
e9319a53-2671,Desktop
2033b640-7405,App Android
02412e88-7746,App iOS
808127c6-5005,Mobile
b26f353c-6304,Desktop
ed65ed2c-3410,Mobile
94c815e7-7806,App iOS
419ccb16-961,Mobile
987e22c3-6321,Mobile
daa72731-5077,Mobile
6301d61e-9133,Mobile
bc12525e-5173,Mobile
c26f0a06-1387,App Android
f565e885-8311,App iOS
1dd43486-9262,App iOS
9d66c36b-9261,Mobile
70a7c982-7335,Mobile
d1bcb1d1-1099,Mobile
229c7016-2592,App iOS
b4408021-7658,Mobile
14ef6eec-429,App Android
d0a1bc9b-1039,App iOS
5b7f6d53-7064,App iOS
29c7160f-9431,App iOS
d719075b-2876,App iOS
75d9b746-4345,Mobile
230a0d83-6781,Mobile
364cd1f7-2999,App iOS
e7a30017-9216,App iOS
46ee1e3f-6563,Mobile
e6b61ca8-855,Mobile
556ce972-7354,App iOS
eb3246d5-4335,Mobile
299ee470-5936,Mobile
8da963b6-7327,App iOS
55a7ae79-8974,Mobile
4604874d-3791,Mobile
92e3895a-1578,App Android
c99e989d-9234,App iOS
9cd33bee-4611,Mobile
a9aa6d4e-5836,Mobile
ec4136f1-3731,Mobile
42f39701-5239,Mobile
f936d787-4402,App Android
79c1d2ca-7016,Mobile
97ac2669-701,App iOS
