session_id,account_login,basket_page,checkout_page,order_placed
7c6b8321-5164,1,1,0,0
ff9fbd72-9414,0,0,0,0
41114e0f-2459,1,1,1,1
c9e28570-455,1,1,1,0
df424a5b-5048,0,1,0,0
09bf58f8-7639,0,0,0,0
31577bfd-4448,0,0,0,0
da3b9af1-6464,0,0,0,0
1f0859a7-1499,1,0,0,0
17f8a07c-3643,0,0,0,0
12b09d9a-7247,0,1,0,0
3c977ee0-2004,0,0,0,0
184e935d-8487,0,0,0,0
4f2899d4-4062,1,0,0,0
7e8a5061-5648,0,0,0,0
d9fa976b-8160,0,1,0,0
12bf525d-5731,0,0,0,0
c01f7bb2-2739,0,0,0,0
19f9a49e-1608,0,0,0,0
41b7a42e-5756,1,0,0,0
12a202f8-1404,1,0,0,0
e360adbd-5218,0,0,0,0
af8675db-4432,0,0,0,0
0900a458-5560,0,0,0,0
31e7812b-418,0,0,0,0
30db93f1-5868,1,0,0,0
af8aedcf-7112,0,0,0,0
cc8145b3-56,1,0,0,0
644c10b1-2023,1,0,0,0
cc5eb72b-7574,0,0,0,0
736010bb-9710,0,0,0,0
13b1271d-6803,0,0,0,0
1af241fc-2133,0,0,0,0
f2ffc1b6-7287,0,0,0,0
d6e68b67-1295,0,0,0,0
0bb5aa47-142,0,0,0,0
ec78942c-3144,1,0,0,0
0005054a-1608,0,0,0,0
6f50d389-2969,0,0,0,0
86c49739-9668,1,0,0,0
5786a966-8309,1,1,1,1
1e61ed29-8590,0,0,0,0
69d3dd97-5758,1,0,0,0
8129f5d3-376,1,0,0,0
daa4552b-3100,1,0,0,0
426eaf9a-7824,0,0,0,0
3cd30190-2654,0,0,0,0
9a3da273-3595,1,0,0,0
70cd667b-521,1,0,0,0
fb6c4660-2256,1,0,0,0
57da0e02-7021,1,0,0,0
1bab3a39-1890,0,0,0,0
95f1240e-5531,0,0,0,0
b10893f2-8586,0,0,0,0
2c43340c-614,1,0,0,0
3830f789-1453,1,0,0,0
9de34295-3315,0,0,0,0
df50f4cf-4822,0,1,1,1
74e8bb8e-2454,0,0,0,0
d6de2226-4580,0,0,0,0
b923c52f-1717,0,0,0,0
05018659-3865,0,0,0,0
d0a30ca1-838,0,0,0,0
f11ebecb-5213,1,0,0,0
8a1fcf0b-7583,1,0,0,0
32ea544c-9619,0,0,0,0
8e88f08b-5468,0,0,0,0
83316c24-8473,0,0,0,0
afa2f011-5737,0,0,0,0
d7cab2c5-7432,0,0,0,0
a5b51f4c-1640,1,0,0,0
23a8a6f5-9991,0,0,0,0
267057e9-488,1,0,0,0
71fda083-8971,1,0,0,0
5e5627f1-6447,0,0,0,0
b2c5c395-8996,1,0,0,0
9534031d-3599,0,0,0,0
7bbf6df3-9595,1,0,0,0
6175c0ae-9643,0,0,0,0
8293ff90-3430,0,0,0,0
07c79237-8707,0,0,0,0
22166fdd-6055,0,0,0,0
9c5b45a6-6289,0,0,0,0
202cc38d-984,0,0,0,0
aade07ba-2701,0,0,0,0
d8d7bcf1-6287,0,0,0,0
3125a8d3-6965,0,1,1,0
ce50efe3-9390,0,0,0,0
08ccc9d2-9323,1,0,0,0
e7e62dca-3336,0,1,0,0
c9393a2b-6552,0,1,0,0
1bd4c1c8-2376,0,0,0,0
9f7afcdf-6760,0,0,0,0
c83cb254-6765,0,1,0,0
0d28a1a3-2204,0,0,0,0
0f5e7605-6449,0,0,0,0
df244d36-4478,0,0,0,0
aa509651-5716,0,0,0,0
2d26e32b-2030,0,0,0,0
2e00091c-7195,0,0,0,0
cae17277-4652,0,1,1,1
ae31ac54-8308,0,0,0,0
de791d70-4021,0,0,0,0
dde0928c-803,0,0,0,0
4ed4de51-6800,0,1,1,1
7257c617-6106,0,0,0,0
1bbcda58-4447,1,0,0,0
bca53099-9977,0,0,0,0
5e751336-6986,0,1,0,0
e5deb604-5616,0,0,0,0
22d016f7-7618,0,0,0,0
ef2b357b-8845,1,0,0,0
53103b56-729,0,0,0,0
9f85a252-7037,0,0,0,0
3ccfa77f-1052,1,0,0,0
7a4914e5-1407,1,0,0,0
168450bd-9884,0,1,1,0
7eee2fd6-7290,0,1,0,0
7d9eba30-1949,1,0,0,0
6f4f3752-1542,1,1,1,1
152637b9-2140,0,0,0,0
d926b469-8934,1,0,0,0
9c42df39-6605,0,0,0,0
9c25bf6c-5354,1,0,0,0
17c45ffb-2639,1,0,0,0
5de72a18-4449,0,0,0,0
7b75e3c4-957,0,0,0,0
f20017e3-1492,0,0,0,0
c09433e8-7130,0,1,0,0
a3d589b0-5248,0,0,0,0
8016d85c-92,0,0,0,0
5be4e4d8-8431,1,0,0,0
5175ca8f-2912,0,0,0,0
0f24d30c-4594,0,1,1,1
57c81a24-7957,0,0,0,0
df529faf-271,1,0,0,0
138db488-9477,0,0,0,0
bbfefb62-2294,0,0,0,0
9d8e817f-1600,0,0,0,0
7d1c3e5c-4429,0,0,0,0
0c84fa85-6953,0,0,0,0
fcf398a1-1554,1,0,0,0
ec8680e8-4197,1,0,0,0
075d38e2-8516,0,0,0,0
c326370f-4622,0,0,0,0
ceb919e6-9286,1,0,0,0
f01e4f3a-2854,0,0,0,0
401beda1-3831,0,0,0,0
ebcd983b-5066,1,0,0,0
f329a6a3-8305,1,0,0,0
36a2056a-9270,0,0,0,0
841db638-7873,0,0,0,0
71b72c70-5014,0,0,0,0
585b2e1f-2913,0,0,0,0
7f0ef947-8392,1,0,0,0
10664e92-6933,1,0,0,0
1036c6bf-4343,0,0,0,0
f0a5b4fa-1930,1,0,0,0
abb9624b-4894,0,1,0,0
2beeef64-3514,1,0,0,0
fd1da82e-993,0,0,0,0
05e1c11f-8922,0,0,0,0
4327c0a7-2119,1,0,0,0
32d7bc7d-9331,0,0,0,0
4802755f-7533,1,0,0,0
f21af2f6-6733,0,0,0,0
21fa4414-9612,0,0,0,0
c80a33a9-6355,0,0,0,0
07448943-4270,0,1,0,0
bb2a0f14-2065,1,1,1,1
7b3e65fe-5682,0,0,0,0
605d873e-4184,0,0,0,0
d25e87d7-5782,0,0,0,0
5e2a861f-7540,0,0,0,0
206f3228-1978,1,1,0,0
969ca1d9-5830,0,0,0,0
7150c60a-2497,0,0,0,0
b9aef789-3557,0,0,0,0
0fd350e2-5915,0,0,0,0
d096c3d6-6035,0,0,0,0
277b77b1-7757,0,0,0,0
6d639d56-9097,1,0,0,0
6b724d9a-7776,1,1,1,1
d73c470f-6407,0,0,0,0
42e44e74-3122,0,0,0,0
36ebbec2-1321,1,0,0,0
29708785-3520,1,1,1,1
1b80bba6-151,1,1,1,1
2f39677e-5795,0,0,0,0
fdc5172a-381,0,1,1,1
16f3fecd-8658,1,0,0,0
382ef33a-8100,1,0,0,0
a3bbf433-4054,0,0,0,0
b7b4df98-7390,1,0,0,0
9c12aab4-7225,1,0,0,0
a2476bd8-6139,0,0,0,0
40b6fd86-550,0,0,0,0
074574bb-3417,1,0,0,0
698e2fb3-4276,0,1,0,0
a9820c17-5292,0,0,0,0
d89f5099-1891,1,1,1,1
3d70ba88-9195,0,0,0,0
75110687-1878,0,0,0,0
06abf585-8420,1,0,0,0
67a264c4-6573,1,1,1,1
48d239d6-9198,0,0,0,0
00184b8d-8192,1,0,0,0
e30d6b42-360,1,0,0,0
cca802df-8492,1,0,0,0
0a783691-1586,1,0,0,0
9ab9c446-8518,1,1,1,1
b74d7ec3-6820,0,0,0,0
d7443c6c-8531,1,0,0,0
8e95d620-4910,0,0,0,0
68665567-1198,0,0,0,0
e2c2e195-6060,0,1,1,0
907c7d88-9687,1,0,0,0
981e8ff0-7780,1,0,0,0
b37d08e1-7166,0,0,0,0
dbdb9c91-312,0,0,0,0
199efe4b-9518,1,0,0,0
8665b201-5554,0,0,0,0
80bcf78a-5158,0,0,0,0
56b236ab-1130,1,0,0,0
a1f43057-1920,0,0,0,0
a9d06c0f-7176,0,1,0,0
1e5a6865-8905,0,0,0,0
5dee96d3-3651,0,0,0,0
6a4e9fd2-7540,0,1,0,0
63b8cb5c-1130,1,1,0,0
dcd21599-7355,0,0,0,0
ac967447-4587,0,0,0,0
ff980bbf-3031,1,0,0,0
68c0b5bb-6616,0,1,0,0
117b13cd-5233,0,0,0,0
6fe69bd0-2683,1,1,0,0
5ae16aa5-8798,0,0,0,0
8a5b83f0-7973,0,0,0,0
874fe5aa-8475,1,1,1,1
00a9d903-8036,1,0,0,0
f6dfaf7e-2149,0,1,0,0
808e32b0-6159,0,0,0,0
e419673f-6588,0,0,0,0
a785b9fb-3934,0,0,0,0
46d6d97c-9525,0,1,0,0
0ea4aad5-2664,1,0,0,0
45449c47-1156,0,0,0,0
f5641b17-5437,0,1,1,1
2f011400-4353,1,0,0,0
c77f0928-7894,1,0,0,0
6f2c6687-7800,0,0,0,0
26f1c9ce-818,0,0,0,0
5b25705b-3905,1,0,0,0
b6ea5272-3222,1,0,0,0
cf4c337a-5178,1,0,0,0
985c18a8-5757,1,1,0,0
c64db87c-9533,0,0,0,0
675863db-9588,1,1,1,1
fa33cf86-4365,0,0,0,0
c1373e01-3798,0,0,0,0
1c383687-1769,1,0,0,0
f9666901-6330,0,0,0,0
173e14bd-5875,1,0,0,0
e43f76f6-8549,1,0,0,0
c1ec4c54-8662,0,0,0,0
984c83da-1455,0,0,0,0
925f34ba-2659,0,0,0,0
da034f3b-9210,0,0,0,0
f78503c9-1163,0,0,0,0
1cd988a5-6270,1,0,0,0
1bb8ce9b-94,0,0,0,0
09421109-9539,1,0,0,0
cc5feff4-7827,1,0,0,0
528399cf-5715,1,0,0,0
7a9a5696-5363,1,0,0,0
b0952df9-4943,1,0,0,0
6a132167-5851,0,0,0,0
1b76371c-6300,0,0,0,0
a8581e07-4241,0,0,0,0
d57246c1-74,1,0,0,0
f28f268e-3427,0,0,0,0
02dfae1d-7803,0,0,0,0
5be4af77-9880,0,0,0,0
07b6fa4b-2944,1,1,0,0
dbad5f2e-8329,1,1,1,1
80178961-3303,0,0,0,0
b839838a-3342,0,0,0,0
6bc8608c-9319,0,0,0,0
70fffd18-3180,0,0,0,0
327c54b9-8857,0,0,0,0
630a19c8-6153,0,0,0,0
0024f73d-1512,0,0,0,0
e48ce46f-6182,1,0,0,0
542152b6-3890,0,0,0,0
0171de0a-1090,1,0,0,0
557ac9b8-9720,1,0,0,0
8bfd0af3-4133,0,0,0,0
642bb8d6-9913,0,0,0,0
14b72a93-8227,1,0,0,0
2011f37b-8323,0,0,0,0
fba1bfe1-2333,1,0,0,0
1e726fff-558,0,0,0,0
9ec967ab-8740,0,0,0,0
6af2de8b-6144,0,0,0,0
62c13571-7106,0,1,0,0
43a7f665-3364,0,0,0,0
5dbb3f13-9603,0,0,0,0
0cf04e31-8974,1,0,0,0
b24c59f7-965,0,0,0,0
476db9c7-4541,1,1,1,1
fbc256d0-8495,0,0,0,0
465d9d4e-7175,0,0,0,0
019169e4-7480,0,1,1,0
4458200f-2664,0,0,0,0
a32794a7-967,1,0,0,0
2a7ddce8-8923,0,0,0,0
b5672bc8-5499,1,0,0,0
348c821f-7621,0,0,0,0
2a020b8c-6398,0,0,0,0
dbd09689-292,0,1,0,0
a7b4d77a-488,1,1,1,0
b4758d31-6207,0,0,0,0
532d9ea3-3001,1,0,0,0
4826091d-3205,1,0,0,0
64a9c373-5484,1,0,0,0
b5a12d58-4735,1,0,0,0
0b949b61-4155,0,0,0,0
86471315-8661,1,1,1,0
25fc2dd9-2705,0,0,0,0
d9f6f3a2-5994,1,1,0,0
9103e8b9-6388,0,1,0,0
8be768ff-6162,0,0,0,0
1edc4c54-4726,0,0,0,0
40fd039f-7075,1,1,1,1
483d1d4e-5826,1,0,0,0
615397c1-4438,0,0,0,0
44f68e4b-634,0,1,0,0
4d6c859f-3082,1,0,0,0
38f4d9b3-3757,1,0,0,0
820feecd-9367,0,0,0,0
e40e15a9-273,1,0,0,0
3c747225-4064,0,0,0,0
f3f5562e-5870,0,0,0,0
bad851ae-9174,1,0,0,0
22f91bc2-1210,0,1,0,0
92e0a37f-9172,1,0,0,0
9da3074f-5020,0,1,1,1
98d31cfb-2456,0,0,0,0
16b0de0c-3122,0,0,0,0
a2a09acc-623,0,0,0,0
4f700475-2434,0,0,0,0
e41fb5aa-8367,0,0,0,0
90519567-8466,0,1,1,1
a5033233-2283,1,1,0,0
7e358dcf-4240,0,0,0,0
2ed483fc-3850,1,0,0,0
fe2655d5-6182,0,0,0,0
58214375-4922,1,0,0,0
94397923-2433,1,0,0,0
6f00adba-1747,0,0,0,0
eb3272a9-8278,0,0,0,0
3763db9b-9257,1,0,0,0
b27ec077-7234,0,0,0,0
4153e8f9-6196,0,1,0,0
8031ec12-2068,1,0,0,0
ecc77e12-368,0,1,1,1
7e9d8088-9396,1,0,0,0
9099921c-9981,1,1,1,1
1af91fbd-5020,1,0,0,0
68517261-3462,1,0,0,0
e1b3c4f0-5745,0,0,0,0
02572dfc-9202,0,0,0,0
0aad0339-2067,0,0,0,0
177d6387-9449,1,0,0,0
29e36391-7103,0,0,0,0
79a7105e-7040,0,1,0,0
c1961052-3678,0,0,0,0
c116bde7-6856,0,0,0,0
d0346531-4390,1,0,0,0
5651ee68-3666,0,0,0,0
754c618f-9330,1,0,0,0
aeb73f0b-7639,0,0,0,0
b923dc54-2841,1,0,0,0
b506a4ff-7753,0,0,0,0
59634863-9353,1,0,0,0
4b99efa1-9509,0,0,0,0
dd699884-8432,0,0,0,0
09720c13-2913,0,1,0,0
22740892-8855,0,0,0,0
8786492b-9998,0,0,0,0
19890118-3091,0,0,0,0
98fcc703-3069,0,0,0,0
2053a006-5685,0,0,0,0
98740b93-5159,0,1,1,0
a0a8af46-2994,0,0,0,0
b738b812-3009,1,0,0,0
07a570df-7139,0,1,0,0
d427de75-984,0,0,0,0
204a8d1c-5626,0,0,0,0
788041b9-9713,0,0,0,0
45922064-9360,0,0,0,0
02f6c45c-6965,0,0,0,0
6756054c-2860,0,0,0,0
65e951f2-6986,0,0,0,0
25c0a1d4-816,0,0,0,0
a2e1e1e4-6753,1,1,1,1
b67bdbe5-2432,0,0,0,0
2dacbdea-2577,0,0,0,0
4b484933-4774,0,1,1,0
8b68fc8c-167,0,0,0,0
ad0a43f2-1738,0,0,0,0
2bc1cf42-7390,1,0,0,0
ea561430-5949,0,0,0,0
0e904fe6-8097,1,0,0,0
b1a05ce0-7806,1,0,0,0
a729fe3c-1333,0,0,0,0
532280ed-8069,1,0,0,0
650ec86e-9327,0,0,0,0
b1dc47cb-1933,1,1,0,0
a01e6d58-3448,1,1,0,0
fc916460-1313,1,0,0,0
ae5e87dc-252,0,0,0,0
54c28204-2098,0,0,0,0
4e82d060-4987,0,0,0,0
0cbc1eef-8298,1,0,0,0
0554d686-5843,0,0,0,0
396e3b7c-823,1,1,0,0
292f2690-5116,0,0,0,0
d4f8ae40-2206,0,0,0,0
48964349-5228,0,0,0,0
d4b5c31b-5506,1,1,0,0
4640b2ed-2911,1,0,0,0
3779153d-2777,1,0,0,0
a401a90f-1521,0,1,0,0
b8f13074-6366,0,0,0,0
2b993a8e-5944,0,0,0,0
966eb26b-3666,1,0,0,0
a1998e57-8683,1,0,0,0
8e0d6fe5-928,1,0,0,0
b2aae193-4672,0,0,0,0
99676065-4195,0,1,0,0
9a4981d9-3242,0,1,0,0
2103eef8-7581,1,1,1,1
77bf4310-6016,1,0,0,0
83579b7f-6562,0,0,0,0
32480aca-809,1,0,1,0
fb96009e-6895,0,0,0,0
4beca827-87,0,0,0,0
590c6cf4-3184,0,0,0,0
d4044374-6769,0,1,0,0
033a2db7-901,0,0,0,0
e20d4c6d-1464,0,0,0,0
935667ea-8638,0,0,0,0
cbf24f00-2959,1,0,0,0
187c9d22-8034,0,1,0,0
71d0083c-562,1,0,0,0
b9b2df40-700,0,1,0,0
1a2fd6bf-2589,0,0,0,0
aaad7ff5-329,0,1,0,0
6a8f0f6d-4229,0,0,0,0
09fa2f1e-3157,1,0,0,0
5792fe9e-1797,0,0,0,0
d4be3205-2095,0,1,1,1
cd2d8f6d-4212,0,0,0,0
44af6f15-2080,0,0,0,0
e783a7a5-3036,1,1,1,1
ca9141a9-3059,1,0,0,0
81fb6f66-9810,1,0,0,0
5ccfe570-9473,0,0,0,0
cfbbd97d-1529,0,0,0,0
755fadcf-516,0,0,0,0
b0bea6a0-9691,0,0,0,0
b1413f58-4181,1,0,0,0
ce33f034-286,1,0,0,0
59fbbd5b-4382,1,0,0,0
0fb93267-3369,0,0,0,0
03382872-4414,0,0,0,0
8ad6c9e6-4828,1,0,0,0
576f20b1-4008,1,1,1,1
3ddc78dc-7838,0,0,0,0
939961e7-54,0,0,0,0
9a150499-2021,0,0,0,0
609f39b8-3651,0,0,0,0
8f967509-5016,1,1,1,0
eec35e1d-9574,1,1,1,1
2cb03cb4-7960,1,0,0,0
d7331f29-9986,0,0,0,0
78631396-3875,1,0,0,0
6760f19c-9600,0,0,0,0
e8fef71f-6388,1,0,0,0
2c8d9aaf-3898,1,0,0,0
26575e49-4299,1,0,0,0
24a59509-3032,1,0,0,0
d386e64d-4452,0,1,0,0
36c80dc6-5768,1,1,0,0
b4106496-2186,1,0,0,0
0a874f1f-3123,0,0,0,0
8692d0e9-1173,0,1,1,1
a5e60291-271,1,0,0,0
3b5181ba-8613,0,0,0,0
e95de6c3-1953,0,0,0,0
7ca463b8-9005,0,0,0,0
9bbb6b66-3402,0,0,0,0
f6bfbb1e-6541,1,1,1,1
9d896748-7394,0,0,0,0
0cbc6650-1406,0,0,0,0
c52222e9-1815,1,0,0,0
9b316e24-8571,0,0,0,0
5ca7dfce-6747,1,0,0,0
0d86f814-259,1,1,0,0
cd979ee3-5523,0,0,0,0
091e9972-4203,1,0,0,0
518d71a8-9349,1,0,0,0
0404a258-4390,0,0,0,0
31ebdd7c-9862,0,0,0,0
a34231c4-7236,0,0,0,0
7486a64c-3608,0,0,0,0
5ddfc856-3866,0,1,0,0
ff921354-7905,0,0,0,0
011fda20-3455,0,0,0,0
8c31997e-5417,1,1,0,0
a24cfe53-6830,0,0,0,0
311eca3f-6,0,1,0,0
bfbd9ac3-8714,0,0,0,0
bf3d2149-2211,1,0,0,0
c568e772-3985,1,0,0,0
4ae8b4d1-1619,1,0,0,0
eede4eeb-1660,0,1,1,1
f2161605-6145,0,0,0,0
273fca6b-1821,1,1,1,1
06952f4c-4281,1,0,0,0
676a49de-1645,0,0,0,0
71c7ba39-4290,0,1,0,0
aa70a1df-685,0,0,0,0
51cf0332-3403,1,0,0,0
ef249960-2702,1,0,0,0
5fd63ec6-6809,0,0,0,0
a1f8b4f5-3306,0,0,0,0
ba037286-4550,0,0,0,0
bfdadd30-9171,0,0,0,0
448e473a-8546,1,0,0,0
59d39166-1963,1,0,0,0
f91dfdb1-1866,1,0,0,0
d2722be9-9333,1,1,1,1
806751bf-617,0,0,0,0
53721a91-6309,0,1,1,1
6c8733a5-614,0,0,0,0
b0c457e9-2710,0,0,0,0
53738f77-6976,0,0,0,0
961877c8-5643,0,1,0,0
2f938d12-8647,0,0,0,0
38a72ab0-407,1,0,0,0
df3d329c-3409,0,0,0,0
fdcfd339-4935,0,0,0,0
225c735f-1676,0,0,0,0
29a2c2a5-2413,1,0,0,0
99fccce9-5051,0,0,0,0
4dae53fc-4700,0,0,0,0
b51e8a4e-491,1,0,0,0
bf83b828-1904,0,0,0,0
66e4d33b-1215,0,1,0,0
c9a9562d-4273,0,0,0,0
6f0f179d-7901,1,0,0,0
386570f7-4319,0,0,0,0
9ced54ce-5118,0,0,0,0
2a897f42-3450,0,0,0,0
2675d4fc-4479,0,0,0,0
5f8f5a79-8202,0,0,0,0
a44de2b1-8684,0,1,1,0
3781f14c-1400,1,1,1,1
53a11613-6556,0,0,0,0
3b6625ff-4414,1,0,0,0
9e7b98c1-8632,0,1,0,0
43787900-3133,1,0,0,0
23e74ff1-1592,1,1,0,0
8091d0a3-5593,0,0,0,0
8174a492-2382,0,0,0,0
67f73bea-9117,0,0,0,0
4cd9ea26-9946,1,0,0,0
85dc42ef-1003,1,0,0,0
b8697a48-4490,0,0,0,0
2a02bb91-2951,0,0,0,0
787ef496-3617,1,1,1,1
009fedc1-681,0,0,0,0
c26f236b-3877,0,0,0,0
15ab052a-4583,0,0,0,0
b3d7fecb-3771,0,0,0,0
40549a2a-9891,1,0,0,0
d8796000-294,0,0,0,0
2e406a1b-5997,1,0,0,0
835b9b4b-7491,1,1,0,0
37c5fa78-4346,1,0,0,0
86de2fbc-8310,1,0,0,0
f72bb764-2672,0,0,0,0
899890bf-6859,0,0,0,0
b2d228ff-1773,1,0,0,0
41ecc87b-2896,0,0,0,0
053efc3a-425,0,0,0,0
231f7c98-6150,1,1,1,1
ef1084c1-4631,0,0,0,0
0e248346-4438,1,0,0,0
16706924-2948,0,0,0,0
8592d0e5-2070,1,0,0,0
61c51ddb-6029,1,0,0,0
1bf5b0b1-7905,1,0,0,0
bd108390-4923,0,1,0,0
23541329-2393,0,0,0,0
cc231100-8230,0,0,0,0
57feb306-7938,0,0,0,0
70fe2a40-147,1,0,0,0
19c0bc75-737,0,1,0,0
768ae6e1-3,1,0,0,0
a1d037a8-6214,1,0,0,0
1df2b6f8-8099,0,0,0,0
060b686a-2844,0,0,0,0
b4ec06df-3288,0,0,0,0
98104f96-6200,1,0,0,0
c51c97b0-3838,1,0,0,0
ecbb1d4f-2266,1,0,0,0
474182ba-2481,0,0,0,0
00687fc7-1635,0,1,0,0
18d66102-8523,0,0,0,0
6c72ed9f-1757,0,0,0,0
cb7526ce-4618,0,0,0,0
adb1d990-1852,0,1,0,0
b38fb0aa-7846,1,0,0,0
b93c020f-7378,1,0,0,0
6f6913d6-1858,0,0,0,0
c8fb51a7-4875,1,0,0,0
253eee67-8208,0,0,0,0
9cf78e69-9000,0,0,0,0
79c9e7cc-7386,1,1,0,0
535956ed-4749,1,0,0,0
5707ccb8-1572,1,0,0,0
a28ab061-651,0,0,0,0
83975e3c-7898,0,0,0,0
7af1622d-751,0,0,0,0
bafc76b8-5173,0,0,0,0
c7cbb118-2239,0,0,0,0
68a3353f-3328,0,0,0,0
84363f75-6481,0,0,0,0
b599a71a-6461,0,0,0,0
56bf607a-7969,0,0,0,0
6fdeab7e-3054,1,0,0,0
5cb66f4f-290,1,0,0,0
3496c115-6294,1,0,0,0
d08d6c52-97,0,1,0,0
bcc979aa-876,1,0,0,0
a349e51e-7989,0,1,0,0
478db28b-3610,0,0,0,0
28ed94db-1820,0,0,0,0
7167a211-6785,1,0,0,0
3f7338af-1471,1,0,0,0
e1b5665d-491,1,0,0,0
319f3199-7292,0,1,1,1
c6baa45c-3326,0,0,0,0
c1ae1e48-2683,0,1,1,0
41de30e8-7269,1,0,0,0
11edef67-3828,0,0,0,0
e92f9750-7694,0,0,0,0
c58e4564-4267,0,0,0,0
1fcb8e02-7841,0,0,0,0
82881367-983,1,0,0,0
909f0048-7327,0,0,0,0
0a39ce10-2408,0,0,0,0
99741f01-3455,1,1,0,0
43edc140-4893,1,1,1,1
cf1473f6-6444,0,0,0,0
886490d4-9910,0,0,0,0
9bc29d80-8588,0,0,0,0
498f8283-4748,0,0,0,0
33e2958b-5169,0,0,0,0
c493a93e-9444,1,0,0,0
d847cb14-2004,0,1,1,1
495d1df9-7330,0,1,0,0
6c7ae04e-7301,1,0,0,0
947b8764-9617,1,1,0,0
f751b495-1495,0,0,0,0
e2a6508d-8926,1,0,0,0
06a50eb8-6108,0,0,0,0
4ebda740-6152,0,0,0,0
e741eabe-8267,1,0,0,0
79dcb932-7399,0,0,0,0
20df551e-3719,1,0,0,0
aff3745b-8935,0,0,0,0
0ee7ca39-1603,0,0,0,0
90efe94a-9539,0,1,0,0
a9104b8c-4962,0,0,0,0
a3114c42-9910,0,0,0,0
845ff8c9-1038,1,0,0,0
e72d4b7c-1632,0,0,0,0
da421e8e-5274,1,0,0,0
921dd3e8-3423,0,0,0,0
52cb1f20-5354,0,0,0,0
eb214fe0-1412,1,0,0,0
ebeb64e8-2108,1,0,0,0
ef89c1b3-5754,0,0,0,0
